year,session,title,abstract,authors,doi
2009,Cognitive modeling and assessment,Session details: Cognitive modeling and assessment,"Understanding and exploiting the abilities of the human visual system is an important part of the design of usable user interfaces and information visualizations. Good design enables quick, easy and veridical perception of key components of that design. An important facet of human vision is its ability to seemingly effortlessly perform ""perceptual organization; it transforms individual feature estimates into perception of coherent regions, structures, and objects. We perceive regions grouped by proximity and feature similarity, grouping of curves by good continuation, and grouping of regions of coherent texture. In this paper, we discuss a simple model for a broad range of perceptual grouping phenomena. It takes as input an arbitrary image, and returns a structure describing the predicted visual organization of the image. We demonstrate that this model can capture aspects of traditional design rules, and predicts visual percepts in classic perceptual grouping displays.","Duncan Brumby,Ruth Rosenholtz,Nathaniel R. Twarog,Nadja Schinkel-Bielefeld,Martin Wattenberg",https://doi.org/10.1145/1518701.1518903
2009,Studying Wikipedia,So you know you're getting the best possible information: a tool that increases Wikipedia credibility,"An experiment was conducted to study how credibility judgments about Wikipedia are affected by providing users with an interactive visualization (WikiDashboard) of article and author editing history. Overall, users who self-reported higher use of Internet information and higher rates of Wikipedia usage tended to produce lower credibility judgments about Wikipedia articles and authors. However, use of WikiDashboard significantly increased article and author credibility judgments, with effect sizes larger than any other measured effects of background media usage and attitudes on Wikiepedia credibility. The results suggest that increased exposure to the editing/authoring histories of Wikipedia increases credibility judgments.","Peter Pirolli,Evelin Wollny,Bongwon Suh",https://doi.org/10.1145/1518701.1518929
2009,Software development,Fisheyes in the field: using method triangulation to study the adoption and use of a source code visualization,"Information visualizations have been shown useful in numerous laboratory studies, but their adoption and use in real-life tasks are curiously under-researched. We present a field study of ten programmers who work with an editor extended with a fisheye view of source code. The study triangulates multiple methods (experience sampling, logging, thinking aloud, and interviews) to describe how the visualization is adopted and used. At the concrete level, our results suggest that the visualization was used as frequently as other tools in the programming environment. We also propose extensions to the interface and discuss features that were not used in practice. At the methodological level, the study identifies contributions distinct to individual methods and to their combination, and discusses the relative benefits of laboratory studies and field studies for the evaluation of information visualizations.","Mikkel Rønne Jakobsen,Kasper Hornbæk",https://doi.org/10.1145/1518701.1518943
2009,Designing for senior citizens,Desiring to be in touch in a changing communications landscape: attitudes of older adults,"This paper offers an exploration of the attitudes of older adults to keeping in touch with people who are important to them. We present findings from three focus groups with people from 55 to 81 years of age. Themes emerging from the findings suggest that older adults view the act of keeping in touch as being worthy of time and dedication, but also as being something that needs to be carefully managed within the context of daily life. Communication is seen as a means through which skill should be demonstrated and personality expressed, and is understood in a very different context to the lightweight interaction that is increasingly afforded by new technologies. The themes that emerged are used to elicit a number of design implications and to promote some illustrative design concepts for new communication devices.","Siân E. Lindley,Richard Harper,Abigail Sellen",https://doi.org/10.1145/1518701.1518962
2009,Understanding graphs,Session details: Understanding graphs,"Graphs are often visualized using node-link representations: vertices are depicted as dots, edges are depicted as (poly)lines connecting two vertices. A directed edge running from vertex A to B is generally visualized using an arrow representation: a (poly)line with a triangular arrowhead at vertex B. Although this representation is intuitive, it is not guaranteed that a user is able to determine edge direction as quickly and unambiguously as possible; alternative representations that exhibit less occlusion and visual clutter might be better suited. To investigate this, we developed five additional directed-edge representations using combinations of shape and color. We performed a user study in which subjects performed different tasks on a collection of graphs using these representations and combinations thereof to investigate which representation is best in terms of speed and accuracy. We present our initial hypotheses, the outcome of the user studies, and recommendations regarding directed-edge visualization.","Martin Wattenberg,Danny Holten,Jarke J. van Wijk",https://doi.org/10.1145/1518701.1519054
2009,Understanding graphs,Topology-aware navigation in large networks,"Applications supporting navigation in large networks are used every days by millions of people. They include road map navigators, flight route visualization systems, and network visualization systems using node-link diagrams. These applications currently provide generic interaction methods for navigation: pan-and-zoom and sometimes bird's eye views. This article explores the idea of exploiting the connection information provided by the network to help navigate these large spaces. We visually augment two traditional navigation methods, and develop two special-purpose techniques. The first new technique, called ""Link Sliding"", provides guided panning when continuously dragging along a visible link. The second technique, called ""Bring & Go"", brings adjacent nodes nearby when pointing to a node. We compare the performance of these techniques in both an adjacency exploration task and a node revisiting task. This comparison illustrates the various advantages of content-aware network navigation techniques. A significant speed advantage is found for the Bring & Go technique over other methods.","Tomer Moscovich,Fanny Chevalier,Nathalie Henry,Emmanuel Pietriga,Jean-Daniel Fekete",https://doi.org/10.1145/1518701.1519056
2009,Computer mediated communication 2,Conversation clusters: grouping conversation topics through human-computer dialog,"Conversation Clusters explores the use of visualization to highlight salient moments of live conversation while archiving a meeting. Cheaper storage and easy access to recording devices allows extensive archival. However, as the size of the archive grows, retrieving the desired moments becomes increasingly difficult. We approach this problem from a socio-technical perspective and utilize human intuition aided by computer memory. We present computationally detected topics of conversation as visual summaries of discussion and as reference points into the archive. To further bootstrap the system, humans can participate in a dialog with the visualization of the clustering process and shape the development of clustering models.","Tony Bergstrom,Karrie Karahalios",https://doi.org/10.1145/1518701.1519060
2010,Visualization,Session details: Visualization,"Understanding perception is critical to effective visualization design. With its low cost and scalability, crowdsourcing presents an attractive option for evaluating the large design space of visualizations; however, it first requires validation. In this paper, we assess the viability of Amazon's Mechanical Turk as a platform for graphical perception experiments. We replicate previous studies of spatial encoding and luminance contrast and compare our results. We also conduct new experiments on rectangular area perception (as in treemaps or cartograms) and on chart size and gridline spacing. Our results demonstrate that crowdsourced perception experiments are viable and contribute new insights for visualization design. Lastly, we report cost and performance data from our experiments and distill recommendations for the design of crowdsourced studies.","Polle Zellweger,Jeffrey Heer,Michael Bostock",https://doi.org/10.1145/1753326.1753357
2010,Visualization,ManyNets: an interface for multiple network analysis and visualization,"Traditional network analysis tools support analysts in studying a single network. ManyNets offers these analysts a powerful new approach that enables them to work on multiple networks simultaneously. Several thousand networks can be presented as rows in a tabular visualization, and then inspected, sorted and filtered according to their attributes. The networks to be displayed can be obtained by subdivision of larger networks. Examples of meaningful subdivisions used by analysts include ego networks, community extraction, and time-based slices. Cell visualizations and interactive column overviews allow analysts to assess the distribution of attributes within particular sets of networks. Details, such as traditional node-link diagrams, are available on demand. We describe a case study analyzing a social network geared towards film recommendations by means of decomposition. A small usability study provides feedback on the use of the interface on a set of tasks issued from the case study.","Manuel Freire,Catherine Plaisant,Ben Shneiderman,Jen Golbeck",https://doi.org/10.1145/1753326.1753358
2010,Visualization,A comparative evaluation on tree visualization methods for hierarchical structures with large fan-outs,"Hierarchical structures with large fan-outs are hard to browse and understand. In the conventional node-link tree visualization, the screen quickly becomes overcrowded as users open nodes that have too many child nodes to fit in one screen. To address this problem, we propose two extensions to the conventional node-link tree visualization: a list view with a scrollbar and a multi-column interface. We compared them against the conventional tree visualization interface in a user study. Results show that users are able to browse and understand the tree structure faster with the multi-column interface than the other two interfaces. Overall, they also liked the multi-column better than others.","Hyunjoo Song,Bohyoung Kim,Bongshin Lee,Jinwook Seo",https://doi.org/10.1145/1753326.1753359
2010,Interfaces and visualization,Session details: Interfaces and visualization,"We define occlusion-aware interfaces as interaction techniques which know what area of the display is currently occluded, and use this knowledge to counteract potential problems and/or utilize the hidden area. As a case study, we describe the Occlusion-Aware Viewer, which identifies important regions hidden beneath the hand and displays them in a non-occluded area using a bubble-like callout. To determine what is important, we use an application agnostic image processing layer. For the occluded area, we use a user configurable, real-time version of Vogel et al.'s [21] geometric model. In an evaluation with a simultaneous monitoring task, we find the technique can successfully mitigate the effects of occlusion, although issues with ambiguity and stability suggest further refinements. Finally, we present designs for three other occlusion-aware techniques for pop-ups, dragging, and a hidden widget.","Patrick Baudisch,Daniel Vogel,Ravin Balakrishnan",https://doi.org/10.1145/1753326.1753365
2010,"Dance, dust, and drama: designing design",The Case of the Disappearing Ox: Seeing Through Digital Images to an Analysis of Ancient Texts,"There are numerous settings where people examine, scrutinize and discuss the details of images in the course of their work. In most medical domains, scans and x-rays are used in the diagnosis of cases; in most areas of science, methods of visualization have been adopted to assist in the analysis of data; and images of different kinds are critical for many research fields in the social sciences and humanities. It is not surprising that recently technologies have been proposed to assist with the analysis and examination of images. In this paper, we consider requirements for technologies in a rather distinctive domain of research, the classics. Drawing upon an analysis of the detailed ways in which classicists work with digital images, we discuss the requirements for systems to support researchers in this domain, and also provide further considerations on the general development of image processing technologies and visualization techniques.","Grace de la Flor,Paul Luff,Marina Jirotka,John Pybus,Ruth Kirkham,Annamaria Carusi",https://doi.org/10.1145/1753326.1753397
2010,Organizing and organizations,Session details: Organizing and organizations,"This paper explores timelines as a web-based tool for collaboration between citizens and municipal caseworkers. The paper takes its outset in a case study of planning and control of parental leave; a process that may involve surprisingly many actors. As part of the case study, a web-based timeline, CaseLine, was designed. This design crosses the boundaries between leisure and work, in ways that are different from what is often seen in current HCI. The timeline has several roles on these boundaries: It is a shared planning and visualization tool that may be used by parents and caseworkers alone or together, it serves as a contract and a sandbox, as a record and a plan, as inspiration for planning and an authoritative road, as a common information space and a fragmented exchange. Serving all these roles does not happen smoothly, and the paper discusses the challenges of such timeline interaction in, and beyond this case.","Arnie Lund,Morten Bohøj,Nikolaj Gandrup Borchorst,Niels Olof Bouvin,Susanne Bødker,Pär-Ola Zander",https://doi.org/10.1145/1753326.1753404
2010,Browsing,Using text animated transitions to support navigation in document histories,"This article examines the benefits of using text animated transitions for navigating in the revision history of textual documents. We propose an animation technique for smoothly transitioning between different text revisions, then present the Diffamation system. Diffamation supports rapid exploration of revision histories by combining text animated transitions with simple navigation and visualization tools. We finally describe a user study showing that smooth text animation allows users to track changes in the evolution of textual documents more effectively than flipping pages.","Fanny Chevalier,Pierre Dragicevic,Anastasia Bezerianos,Jean-Daniel Fekete",https://doi.org/10.1145/1753326.1753427
2010,Sense and sustainability,Small business applications of sourcemap: a web tool for sustainable design and supply chain transparency,"This paper introduces sustainable design applications for small businesses through the Life Cycle Assessment and supply chain publishing platform Sourcemap.org. This web-based tool was developed through a year-long participatory design process with five small businesses in Scotland and in New England. Sourcemap was used as a diagnostic tool for carbon accounting, design and supply chain management. It offers a number of ways to market sustainable practices through embedded and printed visualizations. Our experiences confirm the potential of web sustainability tools and social media to  the discourse and to negotiate the diverse goals inherent in social and environmental sustainability.","Leonardo Bonanni,Matthew Hockenberry,David Zwarg,Chris Csikszentmihalyi,Hiroshi Ishii",https://doi.org/10.1145/1753326.1753465
2010,Machine learning and web interactions,Session details: Machine learning and web interactions,"Interest has been growing within HCI on the use of machine learning and reasoning in applications to classify such hidden states as user intentions, based on observations. HCI researchers with these interests typically have little expertise in machine learning and often employ toolkits as relatively fixed ""black boxes"" for generating statistical classifiers. However, attempts to tailor the performance of classifiers to specific application requirements may require a more sophisticated understanding and custom-tailoring of methods. We present ManiMatrix, a system that provides controls and visualizations that enable system builders to refine the behavior of classification systems in an intuitive manner. With ManiMatrix, users directly refine parameters of a confusion matrix via an interactive cycle of re-classification and visualization. We present the core methods and evaluate the effectiveness of the approach in a user study. Results show that users are able to quickly and effectively modify decision boundaries of classifiers to tai-lor the behavior of classifiers to problems at hand.","Per Ola Kristensson,Ashish Kapoor,Bongshin Lee,Desney Tan,Eric Horvitz",https://doi.org/10.1145/1753326.1753529
2010,Pointing and selecting,pCubee: a perspective-corrected handheld cubic display,"In this paper, we describe the design of a personal cubic display that offers novel interaction techniques for static and dynamic 3D content. We extended one-screen Fish Tank VR by arranging five small LCD panels into a box shape that is light and compact enough to be handheld. The display uses head-coupled perspective rendering and a real-time physics simulation engine to establish an interaction metaphor of having real objects inside a physical box that a user can hold and manipulate. We evaluated our prototype as a visualization tool and as an input device by comparing it with a conventional LCD display and mouse for a 3D tree-tracing task. We found that bimanual interaction with pCubee and a mouse offered the best performance and was most preferred by users. pCubee has potential in 3D visualization and interactive applications such as games, storytelling and education, as well as viewing 3D maps, medical and architectural data.","Ian Stavness,Billy Lam,Sidney Fels",https://doi.org/10.1145/1753326.1753535
2010,Humans and sociability,"Trying too hard: effects of mobile agents' (Inappropriate) social expressiveness on trust, affect and compliance","Mobile services can provide users with information relevant to their current circumstances. Distant services in turn can acquire local information from people in an area of interest. Socially expressive agent behaviour has been suggested as a way to build reciprocal relationships and to increase user response to such requests. This between-subject, Wizard-of-Oz experiment aimed to investigate the potential of such behaviours. 44 participants performed a search task in an urgent context while being interrupted by a mobile agent that both provided and requested information. The socially expressive behaviour shown in this study did not increase compliance to requests; it instead reduced trust in provided information and compliance to warnings. It also negatively impacted the affective experience of users scoring lower on empathy as a personality trait. Inappropriate social expressiveness can have serious consequences; we here elaborate on the reasons for our negative results.","Henriette Cramer,Vanessa Evers,Tim van Slooten,Mattijs Ghijsen,Bob Wielinga",https://doi.org/10.1145/1753326.1753546
2010,Bikes and buses,Biketastic: sensing and mapping for better biking,"Bicycling is an affordable, environmentally friendly alternative transportation mode to motorized travel. A common task performed by bikers is to find good routes in an area, where the quality of a route is based on safety, efficiency, and enjoyment. Finding routes involves trial and error as well as exchanging information between members of a bike community. Biketastic is a platform that enriches this experimentation and route sharing process making it both easier and more effective. Using a mobile phone application and online map visualization, bikers are able to document and share routes, ride statistics, sensed information to infer route roughness and noisiness, and media that documents ride experience. Biketastic was designed to ensure the link between information gathering, visualization, and bicycling practices. In this paper, we present architecture and algorithms for route data inferences and visualization. We evaluate the system based on feedback from bicyclists provided during a two-week pilot.","Sasank Reddy,Katie Shilton,Gleb Denisov,Christian Cenizal,Deborah Estrin,Mani Srivastava",https://doi.org/10.1145/1753326.1753598
2010,"Earth, wind, and flyer","Session details: Earth, wind, and flyer","Water is our most precious and most rapidly declining natural resource. We explore pervasive technology as an approach for promoting water conservation in public and private spaces. We hope to motivate immediate reduction in water use as well as higher-order behaviors (seeking new information, etc) through unobtrusive low-cost water flow sensing and several persuasive displays. Early prototypes were installed at public faucets and a private (shared) shower, logging water usage first without and then with ambient displays. This pilot study led to design iterations, culminating in long-term deployment of sensors in four private showers over the course of three weeks. Sensors first logged baseline water usage without visualization. Then, two display styles, ambient and numeric, were deployed in random order, each showing individual and average water consumption. Quantitative data along with participants' feedback contrast the effectiveness of numeric displays against abstract visualization in this very important domain of water conservation and public health.","Gilbert Cockton,Stacey Kuznetsov,Eric Paulos",https://doi.org/10.1145/1753326.1753604
2010,"Earth, wind, and flyer",InAir: sharing indoor air quality measurements and visualizations,"This paper describes inAir, a tool for sharing measurements and visualizations of indoor air quality within one's social network. Poor indoor air quality is difficult for humans to detect through sight and smell alone and can contribute to the development of chronic diseases. Through a four-week long study of fourteen households as six groups, we found that inAir (1) increased awareness of, and reflection on air quality, (2) promoted behavioral changes that resulted in improved indoor air quality, and (3) demonstrated the persuasive power of sharing for furthering improvements to indoor air quality in terms of fostering new social awareness and behavior changes as well as strengthening social bonds and prompting collaborative efforts across social networks to improve human health and well being.","Sunyoung Kim,Eric Paulos",https://doi.org/10.1145/1753326.1753605
2010,Graphs,Individual models of color differentiation to improve interpretability of information visualization,"Color is commonly used to represent categories and values in many computer applications, but differentiating these colors can be difficult in many situations (e.g., for users with color vision deficiency (CVD), or in bright light). Current solutions to this problem can adapt colors based on standard simulations of CVD, but these models cover only a fraction of the ways in which color perception can vary. To improve the specificity and accuracy of these approaches, we have developed the first ever individualized model of color differentiation (ICD). The model is based on a short calibration performed by a particular user for a particular display, and so automatically covers all aspects of the user's ability to see and differentiate colors in an environment. In this paper we introduce the new model and the manner in which differentiability limits are predicted. We gathered empirical data from 16 users to assess the model's accuracy and robustness. We found that the model is highly effective at capturing individual differentiation abilities, works for users with and without CVD, can be tuned to balance accuracy and color availability, and can serve as the basis for improved color adaptation schemes.","David R. Flatla,Carl Gutwin",https://doi.org/10.1145/1753326.1753715
2011,Machine learning,CueT: human-guided fast and accurate network alarm triage,"Network alarm triage refers to grouping and prioritizing a stream of low-level device health information to help operators find and fix problems. Today, this process tends to be largely manual because existing tools cannot easily evolve with the network. We present CueT, a system that uses interactive machine learning to learn from the triaging decisions of operators. It then uses that learning in novel visualizations to help them quickly and accurately triage alarms. Unlike prior interactive machine learning systems, CueT handles a highly dynamic environment where the groups of interest are not known a-priori and evolve constantly. A user study with real operators and data from a large network shows that CueT significantly improves the speed and accuracy of alarm triage compared to the network's current practice.","Saleema Amershi,Bongshin Lee,Ashish Kapoor,Ratul Mahajan,Blaine Christian",https://doi.org/10.1145/1978942.1978966
2011,Machine learning,Apolo: making sense of large network data by combining rich user interaction and machine learning,"Extracting useful knowledge from large network datasets has become a fundamental challenge in many domains, from scientific literature to social networks and the web. We introduce Apolo, a system that uses a mixed-initiative approach - combining visualization, rich user interaction and machine learning - to guide the user to incrementally and interactively explore large network data and make sense of it. Apolo engages the user in bottom-up sensemaking to gradually build up an understanding over time by starting small, rather than starting big and drilling down. Apolo also helps users find relevant information by specifying exemplars, and then using a machine learning method called Belief Propagation to infer which other nodes may be of interest. We evaluated Apolo with twelve participants in a between-subjects study, with the task being to find relevant new papers to update an existing survey paper. Using expert judges, participants using Apolo found significantly more relevant papers. Subjective feedback of Apolo was also very positive.","Duen Horng Chau,Aniket Kittur,Jason I. Hong,Christos Faloutsos",https://doi.org/10.1145/1978942.1978967
2011,Twitter systems,Twitinfo: aggregating and visualizing microblogs for event exploration,"Microblogs are a tremendous repository of user-generated content about world events. However, for people trying to understand events by querying services like Twitter, a chronological log of posts makes it very difficult to get a detailed understanding of an event. In this paper, we present TwitInfo, a system for visualizing and summarizing events on Twitter. TwitInfo allows users to browse a large collection of tweets using a timeline-based display that highlights peaks of high tweet activity. A novel streaming algorithm automatically discovers these peaks and labels them meaningfully using text from the tweets. Users can drill down to subevents, and explore further via geolocation, sentiment, and popular URLs. We contribute a recall-normalized aggregate sentiment visualization to produce more honest sentiment overviews. An evaluation of the system revealed that users were able to reconstruct meaningful summaries of events in a small amount of time. An interview with a Pulitzer Prize-winning journalist suggested that the system would be especially useful for understanding a long-running event and for identifying eyewitnesses. Quantitatively, our system can identify 80-100% of manually labeled peaks, facilitating a relatively complete view of each event studied.","Adam Marcus,Michael S. Bernstein,Osama Badar,David R. Karger,Samuel Madden,Robert C. Miller",https://doi.org/10.1145/1978942.1978975
2011,"Designing for values, democracy & peace",Many bills: engaging citizens through visualizations of congressional legislation,"US federal legislation is a common subject of discussion and advocacy on the web, inspired by the open government movement. While the contents of these bills are freely available for download, understanding them is a significant challenge to experts and average citizens alike due to their length, complex language, and obscure topics. To make these important documents more accessible to the general public, we present Many Bills (http://manybills.us): a web-based set of visualization tools that reveals the underlying semantics of a bill. Using machine learning techniques, we classify each bill's sections based on existing document-level categories. We then visualize the resulting topic substructure of these bills. These visualizations provide an overview-and-detail view of bills, enabling users to read individual sections of a bill and compare topic patterns across multiple bills. Through an overview of the site's user activity and interviews with active users, this paper highlights how Many Bills makes the tasks of reading bills, identifying outlier sections in bills, and understanding congressperson's legislative activity more manageable.","Yannick Assogba,Irene Ros,Joan DiMicco,Matt McKeon",https://doi.org/10.1145/1978942.1979004
2011,Identity & virtual social interactions,Session details: Identity & virtual social interactions,"Personality inference can be used for dynamic personalization of content or system customization. In this study, we examined whether and how personality is expressed in Virtual Worlds (VWs). Survey data from 1,040 World of Warcraft players containing demographic and personality variables was paired with their VW behavioral metrics over a four-month period. Many behavioral cues in VWs were found to be related to personality. For example, Extraverts prefer group activities over solo activities. We also found that these behavioral indicators can be used to infer a player's personality.","Kori Inkpen,Nick Yee,Nicolas Ducheneaut,Les Nelson,Peter Likarish",https://doi.org/10.1145/1978942.1979052
2011,Ambient & peripheral computing,Does MoodyBoard make internet use more secure?: evaluating an ambient security visualization tool,"Internet users are targets for ever-advancing phishing- and other attacks. The risks are, for example, to disclose credit card information or passwords to unauthorized instances. One approach to help users with insecure situations is provided by MoodyBoard, which uses ambient information to highlight potential risks. In this paper, we present findings from an evaluation of this system. Two user studies were conducted in order to find out whether an ambient security tool can protect users during sensitive tasks. We designed a pilot study to find out whether users understand the warnings and a security study to see if it helps to protect users from phishing attacks. Results show that MoodyBoard users behaved significantly more secure.","Alexander De Luca,Bernhard Frauendienst,Max-Emanuel Maurer,Julian Seifert,Doris Hausen,Niels Kammerer,Heinrich Hussmann",https://doi.org/10.1145/1978942.1979072
2011,Search & information seeking,Enhancing credibility judgment of web search results,"In this paper, we propose a system for helping users to judge the credibility of Web search results and to search for credible Web pages. Conventional Web search engines present only titles, snippets, and URLs for users, which give few clues to judge the credibility of Web search results. Moreover, ranking algorithms of the conventional Web search engines are often based on relevance and popularity of Web pages. Towards credibility-oriented Web search, our proposed system provides users with the following three functions: (1) calculation and visualization of several scores of Web search results on the main credibility aspects, (2) prediction of user's credibility judgment model through user's credibility feedback for Web search results, and (3) re-ranking of Web search results based on user's predicted credibility model. Experimental results suggest that our system enables users - in particular, users with knowledge about search topics - to find credible Web pages from a list of Web search results more efficiently than conventional Web search interfaces.","Yusuke Yamamoto,Katsumi Tanaka",https://doi.org/10.1145/1978942.1979126
